email_address,tag1,tag2,tag3
Nathancruel@club-internet.fr,london-show,paris-show,eu-campaign
uptightKeith@gmx.de,london-show,paris-show,eu-campaign
repulsivePedro60@tiscali.it,london-show,paris-show,eu-campaign
tamePamela@att.net,london-show,paris-show,eu-campaign
eagerLuis@libero.it,london-show,paris-show,eu-campaign
illAmber31@hotmail.de,london-show,paris-show,eu-campaign
adventurousJason@live.fr,london-show,paris-show,eu-campaign
Nicolestrange@live.co.uk,london-show,paris-show,eu-campaign
enchantingAlejandro34@yahoo.in,london-show,paris-show,eu-campaign
handsomeShana50@telenet.be,london-show,paris-show,eu-campaign
scaryKyle82@bellsouth.net,london-show,paris-show,eu-campaign
cuteAna@sympatico.ca,london-show,paris-show,eu-campaign
homelyHilary@rambler.ru,london-show,paris-show,eu-campaign
Manuelhurt@yahoo.in,london-show,paris-show,eu-campaign
dizzyTravis@virgilio.it,london-show,paris-show,eu-campaign
elegantRicky5@optonline.net,london-show,paris-show,eu-campaign
elegantEvelyn@hotmail.co.uk,london-show,paris-show,eu-campaign
hurtCarmen15@blueyonder.co.uk,london-show,paris-show,eu-campaign
puzzledCarrie64@mail.ru,london-show,paris-show,eu-campaign
bloodyDenise@yahoo.co.uk,london-show,paris-show,eu-campaign
Kristyputrid@hotmail.it,london-show,paris-show,eu-campaign
Zacharytired@uol.com.br,london-show,paris-show,eu-campaign
awfulNathan@tiscali.it,london-show,paris-show,eu-campaign
terribleRandy22@aim.com,london-show,paris-show,eu-campaign
friendlyAntonio74@yandex.ru,london-show,paris-show,eu-campaign
Karapowerful@verizon.net,london-show,paris-show,eu-campaign
exuberantJaime@hotmail.de,london-show,paris-show,eu-campaign
exuberantCory@sfr.fr,london-show,paris-show,eu-campaign
Christiewicked@comcast.net,london-show,paris-show,eu-campaign
handsomeScott@yahoo.com.au,london-show,paris-show,eu-campaign
Edwinshiny@sky.com,london-show,paris-show,eu-campaign
ugliestJonathon1@hotmail.it,london-show,paris-show,eu-campaign
bloodyManuel@telenet.be,london-show,paris-show,eu-campaign
gloriousAna78@live.co.uk,london-show,paris-show,eu-campaign
uptightJulie@live.co.uk,london-show,paris-show,eu-campaign
exuberantCorey@telenet.be,london-show,paris-show,eu-campaign
happyJerry@mail.com,london-show,paris-show,eu-campaign
Omardrab@hotmail.it,london-show,paris-show,eu-campaign
Alexworried@ig.com.br,london-show,paris-show,eu-campaign
Kayladangerous@wanadoo.fr,london-show,paris-show,eu-campaign
ugliestKendra89@sky.com,london-show,paris-show,eu-campaign
brainyWalter52@yahoo.es,london-show,paris-show,eu-campaign
unusualRodney@yahoo.com.ar,london-show,paris-show,eu-campaign
jitteryJavier@verizon.net,london-show,paris-show,eu-campaign
easyPaul78@zonnet.nl,london-show,paris-show,eu-campaign
uglyAngelica@yandex.ru,london-show,paris-show,eu-campaign
Alexisterrible@sympatico.ca,london-show,paris-show,eu-campaign
blushingRamon@aim.com,london-show,paris-show,eu-campaign
franticCraig@mac.com,london-show,paris-show,eu-campaign
relievedAdrienne@gmail.com,london-show,paris-show,eu-campaign
enchantingRicardo@ntlworld.com,london-show,paris-show,eu-campaign
Eugenewicked@live.ca,london-show,paris-show,eu-campaign
Clintonill@yahoo.com,london-show,paris-show,eu-campaign
Manuelbreakable@ntlworld.com,london-show,paris-show,eu-campaign
Staceycomfortable@mail.ru,london-show,paris-show,eu-campaign
successfulBethany@terra.com.br,london-show,paris-show,eu-campaign
dullTony26@aim.com,london-show,paris-show,eu-campaign
boredWillie73@qq.com,london-show,paris-show,eu-campaign
angryLucas16@me.com,london-show,paris-show,eu-campaign
Tristandoubtful@yahoo.co.in,london-show,paris-show,eu-campaign
mushyAlison32@hotmail.es,london-show,paris-show,eu-campaign
Coreybreakable@wanadoo.fr,london-show,paris-show,eu-campaign
disturbedRyan76@gmx.de,london-show,paris-show,eu-campaign
brightJoanna84@hotmail.it,london-show,paris-show,eu-campaign
Oscarhappy@yahoo.fr,london-show,paris-show,eu-campaign
Karigrotesque@earthlink.net,london-show,paris-show,eu-campaign
blackNeil0@bol.com.br,london-show,paris-show,eu-campaign
wickedCynthia72@live.nl,london-show,paris-show,eu-campaign
colorfulJessie@yahoo.com.mx,london-show,paris-show,eu-campaign
repulsiveLeah40@aim.com,london-show,paris-show,eu-campaign
lovelyTerrance@yahoo.co.id,london-show,paris-show,eu-campaign
shinyKurt@ymail.com,london-show,paris-show,eu-campaign
Carmensore@yahoo.es,london-show,paris-show,eu-campaign
disgustedPaul4@terra.com.br,london-show,paris-show,eu-campaign
muddySamuel@juno.com,london-show,paris-show,eu-campaign
Naomithankful@windstream.net,london-show,paris-show,eu-campaign
alertSophia@ntlworld.com,london-show,paris-show,eu-campaign
Morganevil@chello.nl,london-show,paris-show,eu-campaign
vivaciousCynthia@charter.net,london-show,paris-show,eu-campaign
Franciscoperfect@yahoo.de,london-show,paris-show,eu-campaign
Matthewmisty@ig.com.br,london-show,paris-show,eu-campaign
Oliviajealous@alice.it,london-show,paris-show,eu-campaign
Royeager@blueyonder.co.uk,london-show,paris-show,eu-campaign
Dennisdifferent@libero.it,london-show,paris-show,eu-campaign
Tarynfine@virgilio.it,london-show,paris-show,eu-campaign
worriedCody12@bigpond.com,london-show,paris-show,eu-campaign
outstandingRichard67@cox.net,london-show,paris-show,eu-campaign
preciousLevi@neuf.fr,london-show,paris-show,eu-campaign
fantasticDonald18@bol.com.br,london-show,paris-show,eu-campaign
combativeHillary@yahoo.co.id,london-show,paris-show,eu-campaign
Billydoubtful@live.fr,london-show,paris-show,eu-campaign
sleepyMeagan68@windstream.net,london-show,paris-show,eu-campaign
disturbedTrevor99@aol.com,london-show,paris-show,eu-campaign
obnoxiousTommy@alice.it,london-show,paris-show,eu-campaign
breakableJasmine15@hetnet.nl,london-show,paris-show,eu-campaign
dangerousMarvin@shaw.ca,london-show,paris-show,eu-campaign
Carlkind@windstream.net,london-show,paris-show,eu-campaign
tameRoberto98@blueyonder.co.uk,london-show,paris-show,eu-campaign
